,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
11078,Jhung,37553,J430,Stone,Ordinary,Chondrite,L,5,5.9 kg,1873,June,,1500,Punjab,Pakistan,31.3,72.3833,31° 18' N,72° 23' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ430%7CscientificName%3AJhung
11079,Jiange,37554,J432,Stone,Ordinary,Chondrite,H,5,,1964,October,9,1900?,Sichuan,China,31.9167,104.9167,31° 55' N,104° 55' E,,
11080,Jianshi,37555,J433,Iron,Medium octahedrite,,IIIAB,Om,600 kg,1890,,,,Hubei,China,30.8083,109.5,30° 48' 30'' N,109° 30' E,,
11107,Jilin,37582,J465,Stone,Ordinary,Chondrite,H,5,4 t,1976,March,8,1500,Jilin,China,44.0,126.5,44° 0' N,126° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ465%7CscientificName%3AJilin
11110,Jajh deh Kot Lalu,37585,J50,Stone,Enstatite,Chondrite,EL,6,973 g,1926,May,2,1700-1800,Sind,Pakistan,26.75,68.4167,26° 45' N,68° 25' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ50%7CscientificName%3AJajh%20deh%20Kot%20Lalu
11111,Jodzie,37586,J500,Stone,Howardite,Achondrite,HOW,,,1877,June,17,430,Kovno,Lithuania,55.7,24.4,55° 42' N,24° 24' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ500%7CscientificName%3AJodzie
11117,Johnstown,37592,J580,Stone,Diogenite,Achondrite,DIO,,40.3 kg,1924,July,6,1620,Colorado,USA,40.35,-104.9,40° 21' N,104° 54' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ580%7CscientificName%3AJohnstown
11118,Jolomba,37593,J585,Stone,Ordinary,Chondrite,LL,6,483 g,1974,February,3,,Huambo district,Angola,-11.85,15.8333,11° 51' S,15° 50' E,,
11122,Jalanash,37597,J65,Stone,Ureilite,Achondrite,URE,,700 g,1990,August,15,,Bayan-Ölgiy,Mongolia,,,,,,
11123,Juancheng,37598,J665,Stone,Ordinary,Chondrite,H,5,> 100 kg,1997,February,15,23:23:35 (Beijing ti,Shandong,China,35.5,115.4167,35° 30' N,115° 25' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ665%7CscientificName%3AJuancheng
11128,Judesegeri,37603,J700,Stone,Ordinary,Chondrite,H,6,0.7 kg,1876,February,16,,Karnataka,India,12.85,76.8,12° 51' N,76° 48' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ700%7CscientificName%3AJudesegeri
11130,Jumapalo,37605,J736,Stone,Ordinary,Chondrite,L,6,32.49 kg,1984,March,13,1000,Java,Indonesia,-7.7167,111.2,7° 43' S,111° 12' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AJ736%7CscientificName%3AJumapalo
11131,Junan,37606,J739,Stone,Ordinary,Chondrite,L,6,950 g,1976,May,15,1100,Shandong,China,35.2,118.8,35° 12' N,118° 48' E,,
11134,Juromenha,37609,J770,Iron,,,IIIAB,,25.25 kg,1968,November,14,1755,,Portugal,38.7403,-7.27,38° 44' 25'' N,7° 16' 12'' W,,
11139,Kendleton,37614,K1010,Stone,Ordinary,Chondrite,L,4,6937 g,1939,May,2,1925,Texas,USA,29.45,-96.0,29° 27' N,96° 0' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1010%7CscientificName%3AKendleton
11144,Kerilis,37619,K1090,Stone,Ordinary,Chondrite,H,5,5 kg,1874,November,26,1030,Cotes-du-Nord,France,48.4,-3.3,48° 24' N,3° 18' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1090%7CscientificName%3AKerilis
11145,Kaee,37620,K110,Stone,Ordinary,Chondrite,H,5,220 g,1838,January,29,,Uttar Pradesh,India,27.25,79.9667,27° 15' N,79° 58' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK110%7CscientificName%3AKaee
11151,Kernouve,37626,K1120,Stone,Ordinary,Chondrite,H,6,80 kg,1869,May,22,2200,Morbihan,France,48.1167,-3.0833,48° 7' N,3° 5' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1120%7CscientificName%3AKernouve
11153,Kesen,37628,K1140,Stone,Ordinary,Chondrite,H,4,135 kg,1850,June,13,500,Honshu,Japan,38.9833,141.6167,38° 59' N,141° 37' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1140%7CscientificName%3AKesen
11155,Kagarlyk,37630,K120,Stone,Ordinary,Chondrite,L,6,1886 g,1908,June,30,700,Kiev Province,Ukraine,49.8667,30.8333,49° 52' N,30° 50' E,,
11156,Khairpur,37631,K1210,Stone,Enstatite,Chondrite,EL,6,13.6 kg,1873,September,23,500,Sind,Pakistan,29.5333,72.3,29° 32' N,72° 18' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1210%7CscientificName%3AKhairpur
11157,Khanpur,37632,K1250,Stone,Ordinary,Chondrite,LL,5,3698 g,1932,July,8,1200-1300,Uttar Pradesh,India,25.55,83.1167,25° 33' N,83° 7' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1250%7CscientificName%3AKhanpur
11160,Khenteisky,37635,K1290,Stone,,,,,,1952,July,10,2330,Choybalsan aymag,Mongolia,49.2,113.4667,49° 12' N,113° 28' E,,
11161,Kheragur,37636,K1310,Stone,Ordinary,Chondrite,L,6,450 g,1860,March,28,,Uttar Pradesh,India,26.95,77.8833,26° 57' N,77° 53' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1310%7CscientificName%3AKheragur
11162,Khetri,37637,K1330,Stone,Ordinary,Chondrite,H,6,,1867,January,19,900,Rajasthan,India,28.0167,75.8167,28° 1' N,75° 49' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1330%7CscientificName%3AKhetri
11163,Khmelevka,37638,K1350,Stone,Ordinary,Chondrite,L,5,6109 G,1929,March,1,524,Omsk Province,Russia,56.75,75.3333,56° 45' N,75° 20' E,,
11164,Khohar,37639,K1370,Stone,Ordinary,Chondrite,L,3,9.7 kg,1910,September,19,1300,Uttar Pradesh,India,25.1,81.5333,25° 6' N,81° 32' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1370%7CscientificName%3AKhohar
11165,Khor Temiki,37640,K1390,Stone,Aubrite,Achondrite,AUB,,3.2 kg,1932,April,8,,,Sudan,16.0,36.0,16° N,36° E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1390%7CscientificName%3AKhor%20Temiki
11166,Kiel,37641,K1430,Stone,Ordinary,Chondrite,L,6,737.6 g,1962,April,26,1245,Schleswig-Holstein,Germany,54.4,10.15,54° 24' N,10° 9' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1430%7CscientificName%3AKiel
11167,Kidairat,37642,K1436,Stone,Ordinary,Chondrite,H,4,100 kg,1983,January,,,Northern Kardofan pr,Sudan,14.0,28.0,14° 0' N,28° 0' E,,
11169,Kaidun,37644,K145,Stone,Carbonaceous,Chondrite,CR,,841.6 g,1980,December,30,445,,South Yemen,15.0,48.3,15° 0' N,48° 18' E,,
11170,Kiffa,37645,K1470,Stone,Ordinary,Chondrite,H,5,1.5 kg,1970,October,23,1455,,Mauritania,16.5833,-11.3333,16° 35' N,11° 20' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1470%7CscientificName%3AKiffa
11172,Kijima (1906),37647,K1500,Stone,Enstatite,Chondrite,EL,,331 g,1906,June,15,,Honshu,Japan,36.85,138.3833,36° 51' N,138° 23' E,,
11174,Kilbourn,37649,K1530,Stone,Ordinary,Chondrite,H,5,772 g,1911,June,16,1700,Wisconsin,USA,43.5833,-89.6,43° 35' N,89° 36' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1530%7CscientificName%3AKilbourn
11175,Killeter,37650,K1540,Stone,Ordinary,Chondrite,H,6,,1844,April,29,1530,County Tyrone,Ireland,54.6667,-7.6667,54° 40' N,7° 40' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1540%7CscientificName%3AKilleter
11180,Kingai,37655,K1590,Stone,Ordinary,Chondrite,H,6,450 g,1967,November,7,1400,,Sudan,11.6333,24.6833,11° 38' N,24° 41' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1590%7CscientificName%3AKingai
11187,Kirbyville,37662,K1670,Stone,Eucrite,Achondrite,EUC,,97.7 g,1906,November,12,1530,Texas,USA,30.75,-95.95,30° 45' N,95° 57' W,,
11188,Kirkland,37663,K1690,Iron,Octahedrite,,,O,232.4 g,1955,January,17,1100,Washington,USA,42.6931,-122.1703,42° 41' 35'' N,122° 10' 13'' W,,
11189,Kainsaz,37664,K170,Stone,Carbonaceous,Chondrite,CO,3,200 kg,1937,September,13,1415,Tatarstan Republic,Russia,55.4333,53.25,55° 26' N,53° 15' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK170%7CscientificName%3AKainsaz
11192,Kisvarsány,37667,K1750,Stone,Ordinary,Chondrite,L,6,,1914,May,24,,,Hungary,48.1667,22.3083,48° 10' N,22° 18' 30'' E,,
11193,Kitchener,37668,K1765,Stone,Ordinary,Chondrite,L,6,202.6 g,1998,July,12,0830 (local time),Ontario,Canada,43.3833,-80.3833,43° 23' N,80° 23' W,,
11197,Kakangari,37672,K180,Stone,Kakangari-type,Chondrite,K,3,340 g,1890,June,4,800,Tamil Nadu,India,12.3833,78.5167,12° 23' N,78° 31' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK180%7CscientificName%3AKakangari
11199,Klein-Wenden,37674,K1840,Stone,Ordinary,Chondrite,H,6,3.25 kg,1843,September,16,1645,Thuringen,Germany,51.6,10.8,51° 36' N,10° 48' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1840%7CscientificName%3AKlein-Wenden
11203,Knyahinya,37678,K1940,Stone,Ordinary,Chondrite,L/LL,5,500 kg,1866,June,9,,Ungvár,Ukraine,48.9,22.4,48° 54' N,22° 24' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK1940%7CscientificName%3AKnyahinya
11204,Kobe,37679,K1972,Stone,Carbonaceous,Chondrite,CK,4,136 g,1999,September,26,2021 (local time),Kobe,Japan,34.7333,135.1667,34° 44' N,135° 10' E,,
11207,Kakowa,37682,K200,Stone,Ordinary,Chondrite,L,6,577 g,1858,May,19,800,,Romania,45.1333,21.6667,45° 8' N,21° 40' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK200%7CscientificName%3AKakowa
11211,Kokubunji,37686,K2025,Stone,Ordinary,Chondrite,L,6,10.95 kg,1986,July,29,1900,Shikoku,Japan,34.3,133.95,34° 18' N,133° 57' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK2025%7CscientificName%3AKokubunji
11212,Komagome,37687,K2050,Iron,Octahedrite,,,O,238 g,1926,April,18,,Honshu,Japan,,,,,,
11213,Konovo,37688,K2080,Stone,,Chondrite,,,100 g,1931,May,26,0000-0100,Sliven,Bulgaria,42.5167,26.1667,42° 31' N,26° 10' E,,
11222,Kalaba,37697,K220,Stone,Ordinary,Chondrite,H,4,950 g,1951,October,31,1730,Katanga,Congo,-6.8333,29.5,6° 50' S,29° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK220%7CscientificName%3AKalaba
11223,Krähenberg,37698,K2230,Stone,Ordinary,Chondrite,LL,5,16.5 kg,1869,May,5,1830,Rheinland-Pfalz,Germany,49.3269,7.4647,49° 19' 37'' N,7° 27' 53'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK2230%7CscientificName%3AKr%C3%A4henberg
11227,Krasnyi Klyuch,37702,K2340,Stone,Ordinary,Chondrite,H,5,4 kg,1946,May,4,,Bashkir Republic,Russia,54.3333,56.0833,54° 20' N,56° 5' E,,
11233,Krutikha,37708,K2425,Stone,,Chondrite,,,845.2 g,1906,,,,Novosibirsk Province,Russia,56.8,77.0,56° 48' N,77° 0' E,,
11234,Krymka,37709,K2430,Stone,Ordinary,Chondrite,LL,3,50 kg,1946,January,21,,Mykolaïv Province,Ukraine,47.8333,30.7667,47° 50' N,30° 46' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK2430%7CscientificName%3AKrymka
11237,Kukschin,37712,K2480,Stone,Ordinary,Chondrite,L,6,2250 g,1938,June,11,1400,Chernivhivska Provin,Ukraine,51.15,31.7,51° 9' N,31° 42' E,,
11238,Kulak,37713,K2510,Stone,Ordinary,Chondrite,L,5,453.6 g,1961,March,25,1730,Baluchistan,Pakistan,30.7311,66.8022,30° 43' 52'' N,66° 48' 8'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK2510%7CscientificName%3AKulak
11242,Kulp,37717,K2570,Stone,Ordinary,Chondrite,H,6,3.719 kg,1906,March,29,,,Armenia,41.1167,45.0,41° 7' N,45° 0' E,,
11246,Kunashak,37721,K2620,Stone,Ordinary,Chondrite,L,6,200 kg,1949,June,11,814,Chelyabinsk Province,Russia,55.7833,61.3667,55° 47' N,61° 22' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK2620%7CscientificName%3AKunashak
11248,Kunya-Urgench,37723,K2645,Stone,Ordinary,Chondrite,H,5,1000 - 1100 kg,1998,June,20,1725,Dashkhowus Velayat,Turkmenistan,42.25,59.2,42° 15' N,59° 12' E,,
11251,Kushiike,37726,K2710,Stone,Ordinary,Chondrite,H,5,4.46 kg,1920,September,16,1800,Honshu,Japan,37.05,138.3833,37° 3' N,138° 23' E,,
11252,Kusiali,37727,K2720,Stone,Ordinary,Chondrite,L,6,,1860,June,16,500,Uttar Pradesh,India,29.6833,78.3833,29° 41' N,78° 23' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK2720%7CscientificName%3AKusiali
11253,Kutais,37728,K2745,Stone,Ordinary,Chondrite,H,5,23.04 g,1977,November,28,800,Krasnodarsky Territo,Russia,44.5167,39.3,44° 31' N,39° 18' E,,
11254,Kuttippuram,37729,K2760,Stone,Ordinary,Chondrite,L,6,45.4 kg,1914,April,6,700,Kerala,India,10.8333,76.0333,10° 50' N,76° 2' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK2760%7CscientificName%3AKuttippuram
11255,Kuznetzovo,37730,K2790,Stone,Ordinary,Chondrite,L,6,4047 g,1932,May,26,between 1700 and 180,Novosibirsk Province,Russia,55.2,75.3333,55° 12' N,75° 20' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK2790%7CscientificName%3AKuznetzovo
11261,Kyushu,37736,K2910,Stone,Ordinary,Chondrite,L,6,,1886,October,26,1500,Kyushu,Japan,32.0333,130.6333,32° 2' N,130° 38' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK2910%7CscientificName%3AKyushu
11263,Kalumbi,37738,K300,Stone,Ordinary,Chondrite,L,6,4.54 kg,1879,November,4,,Maharashtra,India,17.8333,73.9833,17° 50' N,73° 59' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK300%7CscientificName%3AKalumbi
11265,Kamalpur,37740,K310,Stone,Ordinary,Chondrite,L,6,2770 g,1942,August,18,,Uttar Pradesh,India,26.0333,81.4667,26° 2' N,81° 28' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK310%7CscientificName%3AKamalpur
11266,Kamiomi,37741,K340,Stone,Ordinary,Chondrite,H,4,448 g,1913,March,,1500,Honshu,Japan,36.0417,139.9567,36° 2.5' N,139° 57.4' E,,
11267,Kamsagar,37742,K360,Stone,Ordinary,Chondrite,L,6,1293 g,1902,November,12,1300,Karnataka,India,14.1833,75.8,14° 11' N,75° 48' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK360%7CscientificName%3AKamsagar
11269,Kandahar (Afghanistan),37744,K390,Stone,Ordinary,Chondrite,L,6,,1959,November,,,,Afghanistan,31.6,65.7833,31° 36' N,65° 47' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK390%7CscientificName%3AKandahar%20%28Afghanistan%29
11271,Kangean,37746,K420,Stone,Ordinary,Chondrite,H,5,1.63 kg,1908,November,27,1100,Kangean Island,Indonesia,-7.0,115.5,7° S,115° 30' E,,
11272,Kangra Valley,37747,K430,Stone,Ordinary,Chondrite,H,5,400 g,1897,,,,Himachal Pradesh,India,32.0833,76.3,32° 5' N,76° 18' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK430%7CscientificName%3AKangra%20Valley
11276,Kaba,37751,K50,Stone,Carbonaceous,Chondrite,CV,3,3 kg,1857,April,15,2200,,Hungary,47.35,21.3,47° 21' N,21° 18' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK50%7CscientificName%3AKaba
11278,Kapoeta,37753,K540,Stone,Howardite,Achondrite,HOW,,11.355 kg,1942,April,22,1900,,Sudan,4.7,33.6333,4° 42' N,33° 38' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK540%7CscientificName%3AKapoeta
11280,Kaptal-Aryk,37755,K570,Stone,Ordinary,Chondrite,L,6,3.5 kg,1937,May,12,2045,Kirgiziya,Kazakstan,42.45,73.3667,42° 27' N,73° 22' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK570%7CscientificName%3AKaptal-Aryk
11284,Karakol,37759,K610,Stone,Ordinary,Chondrite,LL,6,3 kg,1840,May,9,1200,Semipalatinsk,Kazakstan,47.2167,81.0167,47° 13' N,81° 1' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK610%7CscientificName%3AKarakol
11286,Karatu,37761,K660,Stone,Ordinary,Chondrite,LL,6,2.22 kg,1963,September,11,,,Tanzania,-3.5,35.5833,3° 30' S,35° 35' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK660%7CscientificName%3AKaratu
11288,Karewar,37763,K690,Stone,Ordinary,Chondrite,L,6,180 g,1949,September,19,1900,Katsina province,Nigeria,12.9,7.15,12° 54' N,7° 9' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK690%7CscientificName%3AKarewar
11290,Karkh,37765,K710,Stone,Ordinary,Chondrite,L,6,22 kg,1905,April,27,1300,Baluchistan,Pakistan,27.8,67.1667,27° 48' N,67° 10' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK710%7CscientificName%3AKarkh
11291,Karloowala,37766,K720,Stone,Ordinary,Chondrite,L,6,2.9 kg,1955,July,21,1200,,Pakistan,31.5833,71.6,31° 35' N,71° 36' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK720%7CscientificName%3AKarloowala
11292,Karoonda,37767,K770,Stone,Carbonaceous,Chondrite,CK,4,41.7 kg,1930,November,25,2253,South Australia,Australia,-35.0833,139.9167,35° 5' S,139° 55' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK770%7CscientificName%3AKaroonda
11294,Kabo,37769,K80,Stone,Ordinary,Chondrite,H,4,13.4 kg,1971,April,25,1630,,Nigeria,11.85,8.2167,11° 51' N,8° 13' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK80%7CscientificName%3AKabo
11295,Kasamatsu,37770,K800,Stone,Ordinary,Chondrite,H,,710 g,1938,March,31,,Honshu,Japan,35.3667,136.7667,35° 22' N,136° 46' E,,
11297,Kayakent,37772,K900,Iron,Medium octahedrite,,IIIAB,Om,85 kg,1961,April,,,,Turkey,39.2633,31.78,39° 15' 48'' N,31° 46' 48'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK900%7CscientificName%3AKayakent
11299,Kediri,37774,K920,Stone,Ordinary,Chondrite,L,4,,1940,,,,Java,Indonesia,-7.75,112.0167,7° 45' S,112° 1' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AK920%7CscientificName%3AKediri
11305,Leighton,37780,L1000,Stone,Ordinary,Chondrite,H,5,877 g,1907,January,12,2000,Alabama,USA,34.5833,-87.5,34° 35' N,87° 30' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL1000%7CscientificName%3ALeighton
11310,Leonovka,37785,L1080,Stone,Ordinary,Chondrite,L,6,700 g,1900,August,23,2100,Chernivhivska Provin,Ukraine,52.2667,32.85,52° 16' N,32° 51' E,,
11313,Le Pressoir,37788,L1110,Stone,Ordinary,Chondrite,L,6,3 kg,1845,January,25,1500,Indre-et-Loir,France,47.1667,0.4333,47° 10' N,0° 26' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL1110%7CscientificName%3ALe%20Pressoir
11317,Les Ormes,37792,L1140,Stone,Ordinary,Chondrite,L,6,125 g,1857,October,1,1700,Yonne,France,48.35,3.25,48° 21' N,3° 15' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL1140%7CscientificName%3ALes%20Ormes
11318,Lesves,37793,L1150,Stone,Ordinary,Chondrite,L,6,2 kg,1896,April,13,730,,Belgium,50.3667,4.7333,50° 22' N,4° 44' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL1150%7CscientificName%3ALesves
11320,Le Teilleul,37795,L1160,Stone,Howardite,Achondrite,HOW,,780 g,1845,July,14,1500,Manche,France,48.5333,-0.8667,48° 32' N,0° 52' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL1160%7CscientificName%3ALe%20Teilleul
13165,Lichtenberg,39640,L1197,Stone,,Chondrite,,,4 kg,1973,September,26,,Transvaal,South Africa,-26.15,26.1833,26° 9' S,26° 11' E,,
13200,Lillaverke,39675,L1230,Stone,Ordinary,Chondrite,H,5,6862 g,1930,May,11,1600,Smaland,Sweden,56.65,15.8667,56° 39' N,15° 52' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL1230%7CscientificName%3ALillaverke
13206,Linum,39681,L1350,Stone,Ordinary,Chondrite,L,6,1862 g,1854,September,5,800,Brandenburg,Germany,52.75,12.9,52° 45' N,12° 54' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AL1350%7CscientificName%3ALinum
13210,Lishui,39685,L1484,Stone,Ordinary,Chondrite,L,5,498 g,1978,September,10,1600,Jiangsu,China,31.6333,118.9833,31° 38' N,118° 59' E,,
