,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year,month,latitude_decimal,longitude_decimal
168,2019-06-22 21:25:48,14.9N,66.2W,25.0,14.9,-13.4,6.0,2.5,2947000000000.0,6.0,2019,6,14.9,-66.2
169,2019-06-20 06:07:32,7.3N,67.6W,37.0,,,,,28000000000.0,0.098,2019,6,7.3,-67.6
170,2019-05-26 10:07:55,56.6N,25.3W,24.4,17.5,3.8,-5.8,16.1,42000000000.0,0.14,2019,5,56.6,-25.3
171,2019-05-25 06:44:04,19.2S,89.4E,29.2,15.8,0.2,-15.7,2.1,49000000000.0,0.16,2019,5,-19.2,89.4
172,2019-05-22 15:16:49,10.8N,37.3W,32.6,,,,,95000000000.0,0.29,2019,5,10.8,-37.3
173,2019-05-21 13:21:35,38.8S,137.5E,31.5,11.5,4.4,-8.5,6.4,656000000000.0,1.6,2019,5,-38.8,137.5
174,2019-05-19 14:47:03,23.6S,132.8E,33.3,15.2,7.3,-12.2,5.3,33000000000.0,0.11,2019,5,-23.6,132.8
175,2019-05-12 22:41:48,6.2N,57.1W,,,,,,21000000000.0,0.076,2019,5,6.2,-57.1
176,2019-05-04 15:35:46,28.4N,88.3W,26.5,,,,,22000000000.0,0.079,2019,5,28.4,-88.3
177,2019-04-22 21:42:11,48.8S,67.8E,33.3,11.4,3.4,-4.2,10.0,124000000000.0,0.37,2019,4,-48.8,67.8
178,2019-04-14 17:54:33,18.3N,74.6W,30.6,15.9,-2.5,5.9,-14.6,29000000000.0,0.1,2019,4,18.3,-74.6
179,2019-04-06 11:59:09,56.5N,94.9E,41.5,18.1,6.2,11.1,-12.9,70000000000.0,0.22,2019,4,56.5,94.9
180,2019-04-04 22:19:01,35.3N,93.9W,,,,,,28000000000.0,0.098,2019,4,35.3,-93.9
181,2019-03-27 12:50:34,41.8S,7.4W,,,,,,22000000000.0,0.079,2019,3,-41.8,-7.4
