,name,id,Type,group,mass (g),year,latitude,longitude,country,continent,range label,mass range
195,Chernyi Bor,5339,Chondrite,H4,6000.0,1964.0,53.7,30.1,Belarus,Europe,4th_quantile,"(2700.0, 10322.0]"
196,Cherokee Springs,5340,Chondrite,LL6,8400.0,1933.0,35.03333,-81.88333,United States,North America,4th_quantile,"(2700.0, 10322.0]"
197,Chervettaz,5341,Chondrite,L5,705.0,1901.0,46.55,6.81667,Switzerland,Europe,3rd_quantile,"(682.0, 2700.0]"
198,Chervony Kut,5342,Achondrite,Eucrite-mmict,1700.0,1939.0,50.83333,34.0,Ukraine,Europe,3rd_quantile,"(682.0, 2700.0]"
199,Chetrinahatti,5344,Unclassified,Stone-uncl,72.0,1880.0,14.5,76.5,India,Asia,2nd_quantile,"(22.0, 682.0]"
200,Chiang Khan,5345,Chondrite,H6,367.0,1981.0,17.9,101.63333,Lao People's Democratic Republic,Asia,2nd_quantile,"(22.0, 682.0]"
201,Chicora,5349,Chondrite,LL6,303.0,1938.0,40.93333,-79.73333,United States,North America,2nd_quantile,"(22.0, 682.0]"
202,Chisenga,5355,Achondrite,"Iron, IIIAB",3920.0,1988.0,-10.05944,33.395,Malawi,Africa,4th_quantile,"(2700.0, 10322.0]"
204,Chitenay,5357,Chondrite,L6,4000.0,1978.0,47.47083,0.97667,France,Europe,4th_quantile,"(2700.0, 10322.0]"
205,Cilimus,5364,Chondrite,L5,1600.0,1979.0,-6.95,108.1,Indonesia,Asia,3rd_quantile,"(682.0, 2700.0]"
206,Claxton,5374,Chondrite,L6,1455.0,1984.0,32.1025,-81.87278,United States,North America,3rd_quantile,"(682.0, 2700.0]"
208,Colby (Wisconsin),5395,Chondrite,L6,104000.0,1917.0,44.9,-90.28333,United States,North America,5th_quantile,"(10322.0, 224800.0]"
209,Cold Bokkeveld,5397,Chondrite,CM2,5200.0,1838.0,-33.13333,19.38333,South Africa,Africa,4th_quantile,"(2700.0, 10322.0]"
210,Coleman,5401,Chondrite,L6,469.0,1994.0,43.76111,-84.50778,United States,North America,2nd_quantile,"(22.0, 682.0]"
211,Collescipoli,5403,Chondrite,H5,5000.0,1890.0,42.53333,12.61667,Italy,Europe,4th_quantile,"(2700.0, 10322.0]"
212,Conquista,5418,Chondrite,H4,20350.0,1965.0,-19.85,-47.55,Brazil,South America,5th_quantile,"(10322.0, 224800.0]"
213,Cosina,5451,Chondrite,H5,1200.0,1844.0,21.16667,-100.86667,Mexico,North America,3rd_quantile,"(682.0, 2700.0]"
214,Cranganore,5465,Chondrite,L6,1460.0,1917.0,10.2,76.26667,India,Asia,3rd_quantile,"(682.0, 2700.0]"
215,Crescent,5470,Chondrite,CM2,78.4,1936.0,35.95,-97.58333,United States,North America,2nd_quantile,"(22.0, 682.0]"
216,Cronstad,5474,Chondrite,H5,3650.0,1877.0,-27.7,27.3,South Africa,Africa,4th_quantile,"(2700.0, 10322.0]"
217,Cross Roads,5476,Chondrite,H5,167.0,1892.0,35.63333,-78.13333,United States,North America,2nd_quantile,"(22.0, 682.0]"
218,Crumlin,5477,Chondrite,L5,4255.0,1902.0,54.61667,-6.21667,United Kingdom,Europe,4th_quantile,"(2700.0, 10322.0]"
219,Cumberland Falls,5496,Achondrite,Aubrite,17000.0,1919.0,36.83333,-84.35,United States,North America,5th_quantile,"(10322.0, 224800.0]"
220,Cynthiana,5500,Chondrite,L/LL4,6000.0,1877.0,38.4,-84.25,United States,North America,4th_quantile,"(2700.0, 10322.0]"
